filename,locus_tag,product,Prediction
1402135.12,ALGBIFEJ_00001,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00002,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00003,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00004,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00005,Acyl-coenzyme A dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00006,Acetyl-CoA acetyltransferase,OTHER
1402135.12,ALGBIFEJ_00007,Fatty acid oxidation complex subunit alpha,OTHER
1402135.12,ALGBIFEJ_00008,butyrate_acetyl-CoA coenzyme A-transferase,OTHER
1402135.12,ALGBIFEJ_00009,Cardiolipin synthase A,OTHER
1402135.12,ALGBIFEJ_00010,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00011,Leucine-responsive regulatory protein,OTHER
1402135.12,ALGBIFEJ_00012,Acyl-CoA dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00013,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00014,2-oxoisovalerate dehydrogenase subunit alpha,OTHER
1402135.12,ALGBIFEJ_00015,2-oxoisovalerate dehydrogenase subunit beta,OTHER
1402135.12,ALGBIFEJ_00016,Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex,OTHER
1402135.12,ALGBIFEJ_00017,Dihydrolipoyl dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00018,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00019,Multidrug export protein AcrE,SP
1402135.12,ALGBIFEJ_00020,Multidrug resistance protein MexB,OTHER
1402135.12,ALGBIFEJ_00021,Toluene efflux pump outer membrane protein TtgI,LIPO
1402135.12,ALGBIFEJ_00022,Glucosyl-3-phosphoglycerate synthase,OTHER
1402135.12,ALGBIFEJ_00023,Mannosyl-3-phosphoglycerate phosphatase,OTHER
1402135.12,ALGBIFEJ_00024,HTH-type transcriptional regulator HexR,OTHER
1402135.12,ALGBIFEJ_00025,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00026,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00027,C4-dicarboxylate TRAP transporter large permease protein DctM,OTHER
1402135.12,ALGBIFEJ_00028,Monocarboxylate 2-oxoacid-binding periplasmic protein,TAT
1402135.12,ALGBIFEJ_00029,Glutamate--isopropylamine ligase,OTHER
1402135.12,ALGBIFEJ_00030,"4,4_-diapolycopene aldehyde oxidase",OTHER
1402135.12,ALGBIFEJ_00031,NAD-dependent methanol dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00032,Tn3 family transposase TnXax1,TATLIPO
1402135.12,ALGBIFEJ_00033,Aspartate--tRNA_Asp_Asn_ ligase,OTHER
1402135.12,ALGBIFEJ_00034,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00035,hypothetical protein,TAT
1402135.12,ALGBIFEJ_00036,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00037,Regulator of RpoS,OTHER
1402135.12,ALGBIFEJ_00038,Ethylmalonyl-CoA_methylmalonyl-CoA epimerase,OTHER
1402135.12,ALGBIFEJ_00039,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00040,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00041,Putative NAD_P_H nitroreductase YdjA,OTHER
1402135.12,ALGBIFEJ_00042,Histone deacetylase-like amidohydrolase,OTHER
1402135.12,ALGBIFEJ_00043,"Catechol-2,3-dioxygenase",OTHER
1402135.12,ALGBIFEJ_00044,Tryptophan--tRNA ligase,OTHER
1402135.12,ALGBIFEJ_00045,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00046,Lipid II flippase MurJ,OTHER
1402135.12,ALGBIFEJ_00047,Hippurate hydrolase,OTHER
1402135.12,ALGBIFEJ_00048,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00049,Bifunctional uridylyltransferase_uridylyl-removing enzyme,OTHER
1402135.12,ALGBIFEJ_00050,hypothetical protein,LIPO
1402135.12,ALGBIFEJ_00051,Ribosomal RNA small subunit methyltransferase I,OTHER
1402135.12,ALGBIFEJ_00052,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00053,Glutathione synthetase,OTHER
1402135.12,ALGBIFEJ_00054,Monoterpene epsilon-lactone hydrolase,OTHER
1402135.12,ALGBIFEJ_00055,Competence protein ComM,OTHER
1402135.12,ALGBIFEJ_00056,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00057,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00058,Bifunctional adenosylcobalamin biosynthesis protein CobP,OTHER
1402135.12,ALGBIFEJ_00059,RNA polymerase sigma factor RpoH,OTHER
1402135.12,ALGBIFEJ_00060,hypothetical protein,SP
1402135.12,ALGBIFEJ_00061,Coenzyme A biosynthesis bifunctional protein CoaBC,OTHER
1402135.12,ALGBIFEJ_00062,Deoxyuridine 5_-triphosphate nucleotidohydrolase,OTHER
1402135.12,ALGBIFEJ_00063,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00064,Dipeptidyl carboxypeptidase,OTHER
1402135.12,ALGBIFEJ_00065,Curved DNA-binding protein,OTHER
1402135.12,ALGBIFEJ_00066,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00067,Quinate_shikimate dehydrogenase _NAD____,OTHER
1402135.12,ALGBIFEJ_00068,Glyoxylate_hydroxypyruvate reductase A,OTHER
1402135.12,ALGBIFEJ_00069,Peptidoglycan glycosyltransferase MrdB,OTHER
