EC_number,recommended_name,systematic_name,synonyms,KO,ecpath,SignalP,Alteromonas macleodii 1A3,Marinobacter adhaerens HP15,Marinovum 5F3,Phaeobacter gallaeciensis,Pseudoalteromonas haloplanktis,Roseovarius 5C3,Ruegeria pomeroyi,Sulfitobacter pseudonitzschiae
,,,,,,,88,61,61,73,135,47,67,51
,,,,,,LIPO,102,102,54,57,84,56,52,55
,,,,,,OTHER,1206,1291,1986,1450,862,1429,1336,1594
,,,,,,PILIN,1,3,7,2,1,2,4,5
,,,,,,SP,298,228,223,186,167,220,192,196
,,,,,,TAT,6,4,30,30,3,31,24,22
,,,,,,TATLIPO,1,2,2,1,0,2,1,2
,,,,K00021,K00021  HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],OTHER,2,0,0,0,0,0,0,0
,,,,K00031,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",OTHER,0,2,0,0,0,0,0,0
,,,,K00059,"K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",OTHER,0,1,0,0,0,0,0,0
,,,,K00077,"K00077  panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]",OTHER,1,0,1,0,0,0,1,0
,,,,K00111,"K00111  glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",OTHER,0,1,0,0,0,0,0,0
,,,,K00113,K00113  glpC; glycerol-3-phosphate dehydrogenase subunit C,OTHER,0,0,0,0,0,1,0,0
,,,,K00117,K00117  gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2],OTHER,0,0,0,0,0,0,0,1
,,,,K00124,"K00124  fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",OTHER,0,1,1,1,0,1,1,1
,,,,K00126,K00126  fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9],OTHER,0,0,0,0,0,1,0,0
,,,,K00127,"K00127  fdoI, fdsG; formate dehydrogenase subunit gamma",OTHER,0,0,1,0,0,0,0,0
,,,,K00127,"K00127  fdoI, fdsG; formate dehydrogenase subunit gamma",SP,0,1,1,1,0,1,1,1
,,,,K00179,"K00179  iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",OTHER,0,0,0,0,0,0,2,0
,,,,K00180,"K00180  iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",OTHER,0,0,0,0,0,0,2,0
,,,,K00227,"K00227  SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]",OTHER,0,0,0,1,0,0,3,0
